threshold,precision_positive,recall_positive,f1_positive,accuracy,balanced_accuracy,predicted_positive_rate
0.1,0.23151273396747468,0.9779650032404407,0.37439523632303684,0.369625,0.6011088760975318,0.81475
0.11,0.23590387937804302,0.9734283862605314,0.3797724399494311,0.38675,0.6099912567821164,0.795875
0.12,0.24095222776258646,0.9708360337005832,0.38608247422680414,0.4045,0.6200006403596613,0.777125
0.13,0.2463744232036915,0.9688917692806222,0.3928524504007358,0.422375,0.6303340680071997,0.7585
0.14,0.25071609098567815,0.9643551523007129,0.3979673709548007,0.43725,0.637822612544967,0.741875
0.15,0.25547319427684884,0.9604666234607907,0.4035947712418301,0.4525,0.6457900718357075,0.725125
0.16,0.26026912181303113,0.9526895657809462,0.40884438881935753,0.468625,0.6528199261458548,0.706
0.17,0.2648550724637681,0.9475048606610499,0.41398839020246353,0.482625,0.6595198145646894,0.69
0.18,0.26760303086305676,0.9384316267012314,0.4164509634742594,0.49275,0.6623395550263165,0.676375
0.19,0.2724177071509648,0.933246921581335,0.4217308537121101,0.506375,0.6688071374206814,0.66075
0.2,0.2758952637658837,0.9287103046014258,0.4254119044084904,0.516125,0.6731208329573646,0.64925
0.21,0.2802597913796497,0.9228775113415425,0.42995169082125606,0.528,0.6782577118423679,0.635125
0.22,0.285829307568438,0.9202851587815943,0.4361849178313623,0.541125,0.6854019877847882,0.621
0.23,0.29082682023858497,0.916396629941672,0.44153005464480877,0.552875,0.6912012575138127,0.60775
0.24,0.29547844374342797,0.9105638366817888,0.4461733883772626,0.564,0.6958735243498768,0.594375
0.25,0.3008182601205857,0.9053791315618924,0.4515920478422499,0.575875,0.7012570119633839,0.5805
0.26,0.3057814904374588,0.9014906027219702,0.4566644780039396,0.58625,0.70620449293602,0.568625
0.27,0.3103602595658984,0.8988982501620221,0.4614105123087159,0.59525,0.7107934026092749,0.558625
0.28,0.31623540187771926,0.8950097213220998,0.4673434856175973,0.6065,0.71628293097234,0.545875
0.29,0.3210280373831776,0.8904731043421905,0.47192168985059246,0.615625,0.7202094498015739,0.535
0.3,0.3256202290076336,0.8846403110823072,0.47602441150828245,0.624375,0.7234104451493308,0.524
0.31,0.33001698616840575,0.881399870382372,0.480225988700565,0.632,0.7269009573376937,0.515125
0.32,0.33399307273626916,0.8749189889825016,0.4834377797672337,0.639375,0.7290035552005585,0.50525
0.33,0.33947501261988894,0.8716785482825664,0.48864668483197093,0.648125,0.7331909854623302,0.49525
0.34,0.3455578512396694,0.8671419313026572,0.49418282548476455,0.657625,0.7373498103160335,0.484
0.35,0.35061858383785205,0.863253402462735,0.4986896293523025,0.66525,0.7405937137758928,0.474875
0.36,0.3560687432867884,0.8593648736228127,0.5035124359217771,0.673125,0.7439924879187317,0.4655
