model,model_type,threshold,precision_positive,recall_positive,f1_positive,auc_roc,auc_pr,accuracy,balanced_accuracy,specificity,negative_predictive_value,false_positive_rate,false_negative_rate,matthews_corrcoef,brier_score,predicted_positive_rate,tn,fp,fn,tp
XGBoostAUC_cuda,ML,0.66,0.5778003041054233,0.5909797822706065,0.5843157355202461,0.8481927299200919,0.6244013604978,0.8378162183781622,0.7438917741878306,0.8968037661050545,0.9017189835575485,0.10319623389494549,0.40902021772939345,0.4836337660366713,0.1580210803153893,0.1972802719728027,7239,833,789,1140
ValidationSoftVoting,Ensemble,0.52,0.5487249544626593,0.6246759979263867,0.5842424242424242,0.846991000127931,0.6222385516632727,0.8285171482851715,0.7509529642753836,0.8772299306243806,0.9072389493914158,0.12277006937561942,0.37532400207361327,0.47838372312351135,0.13063102845907468,0.21957804219578042,7081,991,724,1205
XGBoostF1Balanced_cuda,ML,0.67,0.5783009211873081,0.5857957490927942,0.582024208086531,0.8477286587637133,0.6227476493108115,0.8377162283771623,0.7418572402550194,0.8979187314172448,0.9007083385112464,0.10208126858275521,0.4142042509072058,0.4813561209900469,0.15779009622377327,0.19538046195380462,7248,824,799,1130
GradientBoosting,ML,0.28,0.5393858477970628,0.6283048211508554,0.5804597701149425,0.8463716070656985,0.6215993681738454,0.8248175182481752,0.7500419051244862,0.8717789890981169,0.9075315965953057,0.12822101090188306,0.37169517884914466,0.4727538243721237,0.10954024289323137,0.22467753224677534,7037,1035,717,1212
HistGradientBoostingRegularized,ML,0.63,0.5318319618882633,0.6365992742353551,0.5795186408683342,0.8433369053839448,0.6097745713283491,0.8218178182181782,0.7513397758689164,0.8660802775024777,0.9088663546541862,0.1339197224975223,0.3634007257646449,0.4706697698080641,0.16003786052304592,0.2308769123087691,6991,1081,701,1228
XGBoost_cuda,ML,0.62,0.5303486870426173,0.63867288750648,0.5794920037629351,0.8466848839963399,0.6206117946807668,0.8212178782121787,0.7517571573310398,0.8648414271555996,0.9092211513414952,0.1351585728444004,0.36132711249351995,0.4704569118634538,0.15834019211418698,0.23227677232276772,6981,1091,697,1232
HistGradientBoosting,ML,0.63,0.5383580080753702,0.6220839813374806,0.5772005772005772,0.8418868596318977,0.6038943647035573,0.8242175782421758,0.7473031403218622,0.8725222993062438,0.906201749871333,0.1274777006937562,0.37791601866251945,0.46891582229851575,0.15741413663415374,0.22287771222877711,7043,1029,729,1200
LogisticRegression_baseline,Baseline,0.65,0.5453277545327755,0.6080870917573873,0.575,0.8414679368318623,0.6095653872004761,0.8266173382661733,0.7434637639163547,0.8788404360753221,0.9036942675159235,0.1211595639246779,0.39191290824261277,0.46759082875802566,0.1619958004174933,0.21507849215078492,7094,978,756,1173
MLP,MLP,0.64,0.5195482189400521,0.6200103680663557,0.5653509808555897,0.8397358583531009,0.6073102253625495,0.8161183881611839,0.7414967598508191,0.8629831516352825,0.9047928302376932,0.13701684836471753,0.3799896319336444,0.45271843003819173,0.1618483796124997,0.23017698230176983,6966,1106,733,1196
RandomForest,ML,0.36,0.5231935771632471,0.6080870917573873,0.5624550467513786,0.8356837452045123,0.5863370342231832,0.8175182481751825,0.7378269948380594,0.8675668979187314,0.9025647635004511,0.13243310208126857,0.39191290824261277,0.45001517016048703,0.11684408821540594,0.22417758224177584,7003,1069,756,1173
ExtraTrees,ML,0.5,0.4966121960940614,0.6459305339554173,0.5615141955835962,0.8355347492063394,0.5915179844941667,0.8054194580541946,0.7447318675723569,0.8435332011892963,0.9088360918312867,0.15646679881070366,0.35406946604458267,0.4454797789080557,0.1377584665921064,0.2508749125087491,6809,1263,683,1246
