model,threshold,precision_positive,recall_positive,f1_positive,accuracy,balanced_accuracy,predicted_positive_rate
RandomForest,0.1,0.25432525951557095,0.9526895657809462,0.4014748054076198,0.452125,0.6425984610691939,0.7225
RandomForest,0.11,0.2622832369942196,0.9410239792611795,0.41022743325328437,0.478125,0.654266054986018,0.692
RandomForest,0.12,0.27229780801209374,0.9338950097213221,0.4216532553035845,0.505875,0.6687440047832257,0.6615
RandomForest,0.13,0.28292586750788645,0.9300064808813999,0.43386243386243384,0.531875,0.6833709034420938,0.634
RandomForest,0.14,0.2908756889161053,0.9235255994815295,0.44240918969264204,0.551,0.6927524234050051,0.612375
RandomForest,0.15,0.29917425365233963,0.9157485418016851,0.45100542610916056,0.57,0.7015632905694192,0.590375
RandomForest,0.16,0.307912717654838,0.9053791315618924,0.45953947368421055,0.58925,0.7095425935027985,0.567125
RandomForest,0.17,0.3175582990397805,0.9001944264419961,0.46949467635626163,0.607625,0.718952718873778,0.54675
RandomForest,0.18,0.32679894812335647,0.8859364873622813,0.47747118407265104,0.626,0.7249103220457063,0.522875
RandomForest,0.19,0.3357481888583562,0.8710304601425793,0.4846736386584926,0.64275,0.7296146570497626,0.500375
RandomForest,0.2,0.34340802501302764,0.8541801685029164,0.48987177104627394,0.656875,0.7319530236970212,0.47975
RandomForest,0.21,0.3542405235887647,0.8418664938431627,0.49865642994241843,0.6735,0.7375663582736024,0.458375
RandomForest,0.22,0.36614509246088195,0.8340894361633182,0.5088967971530249,0.6895,0.74451877724226,0.439375
RandomForest,0.23,0.3780887168800238,0.8230719377835386,0.518155854753162,0.70475,0.7497735405194601,0.419875
RandomForest,0.24,0.38857501569365976,0.8023331173039533,0.5235779234510467,0.718375,0.7503225134297372,0.39825
RandomForest,0.25,0.39816933638443935,0.7893713545042126,0.529335071707953,0.72925,0.7521272135692815,0.382375
RandomForest,0.26,0.40791268758526605,0.7751134154244977,0.5345251396648044,0.739625,0.7531289548858588,0.3665
RandomForest,0.27,0.4197707736389685,0.7595593000648088,0.5407151095732411,0.751125,0.7543343968188376,0.349
RandomForest,0.28,0.4313135114791118,0.7427090084251459,0.5457142857142857,0.7615,0.7543497032214006,0.332125
RandomForest,0.29,0.4408389394538979,0.7219701879455606,0.5474201474201474,0.76975,0.7515689564476138,0.315875
RandomForest,0.3,0.4535223009587328,0.7051198963058976,0.5520040588533739,0.77925,0.7510422154597476,0.299875
RandomForest,0.31,0.46207497820401044,0.6869734283862605,0.5525149856658849,0.785375,0.747931502794648,0.28675
RandomForest,0.32,0.47320201557489694,0.6694750486066104,0.5544820182501342,0.7925,0.7456868815899709,0.272875
RandomForest,0.33,0.4852728150651859,0.6513285806869734,0.5561704482567792,0.7995,0.7431182163153003,0.258875
RandomForest,0.34,0.4992311635058944,0.6312378483473753,0.5575271894676589,0.80675,0.7399645955380983,0.243875
RandomForest,0.35,0.5104782375067168,0.6156837329876863,0.5581668625146886,0.812,0.7372982703965844,0.232625
RandomForest,0.36,0.5228684359119141,0.6001296176279974,0.5588412794206397,0.81725,0.7346319452550705,0.221375
RandomForest,0.37,0.5348837209302325,0.5813350615683733,0.5571428571428572,0.82175,0.7302679644220991,0.209625
RandomForest,0.38,0.5451127819548872,0.5638366817887233,0.5543166613571201,0.825125,0.7257002829727262,0.1995
RandomForest,0.39,0.5598149372108394,0.5489306545690213,0.5543193717277487,0.82975,0.7228933898522666,0.189125
RandomForest,0.4,0.5661815661815662,0.5294880103694103,0.5472203616878768,0.831,0.7162694814120554,0.180375
RandomForest,0.41,0.5730994152046783,0.508101101749838,0.5386465132256957,0.832125,0.7088283114448432,0.171
RandomForest,0.42,0.580046403712297,0.4860661049902787,0.5289139633286318,0.833,0.7009856620661475,0.161625
RandomForest,0.43,0.5968672712283595,0.4692158133506157,0.525399129172714,0.8365,0.6967420246867683,0.151625
RandomForest,0.44,0.6053772766695577,0.4523655217109527,0.5178041543026706,0.8375,0.6909496804775919,0.144125
RandomForest,0.45,0.6134067952249771,0.43292287751134156,0.5075987841945289,0.838,0.6838611599884414,0.136125
RandomForest,0.46,0.6202898550724638,0.41607258587167856,0.49806051202482543,0.83825,0.6776042037303259,0.129375
RandomForest,0.47,0.6377708978328174,0.40051847051198963,0.49203821656050956,0.8405,0.6730794303930554,0.121125
RandomForest,0.48,0.6479481641468683,0.38885288399222295,0.48602673147023084,0.841375,0.6691825206704185,0.11575
RandomForest,0.49,0.66324200913242,0.3765392093324692,0.4803637866887143,0.842875,0.6654261789267271,0.1095
RandomForest,0.5,0.6754807692307693,0.3642255346727155,0.47326315789473683,0.843625,0.6612052251340966,0.104
RandomForest,0.51,0.6788874841972187,0.3480233311730395,0.4601542416452442,0.8425,0.6543430888480963,0.098875
RandomForest,0.52,0.6853333333333333,0.33311730395333766,0.44832097688617534,0.841875,0.6482839113850628,0.09375
RandomForest,0.53,0.6982758620689655,0.3149708360337006,0.4341223760607414,0.841625,0.6412239963039805,0.087
RandomForest,0.54,0.7111459968602826,0.2935839274141283,0.41559633027522935,0.84075,0.6325438608729306,0.079625
RandomForest,0.55,0.718801996672213,0.27997407647440054,0.40298507462686567,0.84,0.6269004655254147,0.075125
RandomForest,0.56,0.727433628318584,0.2663642255346727,0.3899430740037951,0.83925,0.6212570701778986,0.070625
RandomForest,0.57,0.7302504816955684,0.24562540505508748,0.3676042677012609,0.837,0.6119717547189639,0.064875
RandomForest,0.58,0.7320675105485233,0.22488658457550226,0.3440753594447199,0.834625,0.6026090039185394,0.05925
RandomForest,0.59,0.7505773672055427,0.21062864549578741,0.32894736842105265,0.83425,0.5969513058669893,0.054125
RandomForest,0.6,0.76,0.1970187945560596,0.3129181677817808,0.833125,0.5910756044950036,0.05
RandomForest,0.61,0.7547683923705722,0.1795204147764096,0.2900523560209424,0.8305,0.5827910266541177,0.045875
RandomForest,0.62,0.7696969696969697,0.1646143875567077,0.27122263747997866,0.829375,0.5764221078251248,0.04125
RandomForest,0.63,0.7906976744186046,0.1542449773169151,0.25813449023861174,0.829,0.5722440621445966,0.037625
RandomForest,0.64,0.8068181818181818,0.13804277381723914,0.23574986164914222,0.827375,0.5650721844926369,0.033
